,Ton-KM
1973,15568.7001226766
1974,16955.1999082641
1975,17236.2001382789
1976,19300.3003769074
1977,21322.8000910735
1978,23579.8997770252
1979,25626.6997091254
1980,26825.20036263
1981,28360.5003017262
1982,29046.2997858752
1983,32407.8999070598
1984,36841.9996042477
1985,37061.7001747789
1986,40331.8000859544
1987,45392.7001377273
1988,50418.5999940262
1989,54428.2002948747
1990,56124.9003501084
1991,56142.3000809547
1992,61025.1997384947
1993,67522.6001899917
1994,77183.3003311681
1995,83098.2003978345
1996,89164.5999806
1997,102876.101219632
1998,101788.274305637
1999,108629.618245873
2000,118257.211
2001,110860.835000095
2002,117506.673
2003,124203.199
2004,139032.94
2005,141483.603
2006,148937.604
2007,158205.946
2008,158487.874
2009,175509.343654396
2010,182498.62707797
2011,183532.230059023
2012,175567.342248843
2013,176421.557813548
2014,185517.109461419
2015,188363.416312345
2016,195588.275094034
2017,213628.647172062
2018,222156.700779335
2019,219524.447845005
2020,182526.184876548
2021,219227.32846961
2022,
