,Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33251396.6480447,34636871.5083799,37944134.0782123,46530726.2569832,62011173.1843575,76829608.9385475,81112849.1620112,86827932.9608939,97657541.8994413,126767039.106145,146021229.050279,162157541.899441,178492178.77095,189653631.284916,107412290.502793,70184357.5418994,110950837.988827,52085474.8603352,89000000.0,95987150.8379888,106228491.620112,110067039.106145,115463687.150838,105657541.899441,87015083.7988827,,,
1,Africa Eastern and Southern,AFE,,,,,,3937738483.22531,4249149877.30542,4633036607.41183,5047299707.10159,5748477586.55356,6419287157.65667,6927236027.0427,7237612986.03517,9824447325.38411,12059015193.3463,13499980341.8649,13253854974.0101,13670206418.3654,15445886799.0818,19398410367.1492,26970013322.8882,30441979677.682,27681365280.3218,29989227974.6861,26547140350.4865,19972270859.6053,23032147235.4366,30216823667.3212,33515980292.0197,36179696711.2811,42441991204.4559,43982358489.9129,42362803059.6407,39936142569.1846,40642743307.3689,45814339502.8463,43658181122.5701,45195539680.1132,41425247971.4827,39109991415.3708,41815103781.2602,38280969133.456,37653336280.0204,51318627219.4791,63554140600.1917,69881068381.92,70739849737.6031,78855891267.2541,79600636028.9504,84063627660.7108,96451968208.0334,101861197814.952,100793887939.908,98076130639.7169,98179790739.5233,92814920788.9607,88553767663.522,100596186669.085,109661564484.326,107993593553.057,96184503614.9861,113955142441.37,124765402284.823
2,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720102294.820231,765118997.296955,917178696.919335,1029629677.89208,1142360054.93456,1729987519.17313,1803409241.28768,1632708752.85552,1985663497.24606,2453398198.93065,2485646160.44345,2316811197.66345,2352575881.52913,2185129272.21637,745351408.006745,662076240.809377,1112110513.759,1324078912.32812,1502305215.03175,1211676168.75713,
3,Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,45667970747.249,40080036403.3442,28990902066.6048,19552652787.4721,23320107757.813,19324499608.8019,17502850703.8727,18264489203.8773,15184862636.2392,18194185731.6578,20185711035.9622,17744646601.5215,19888905531.7143,24463209476.5551,38597941899.3978,47006856259.4789,50625909100.5974,50371669399.6467,18674000899.6436,17631373021.8667,18516420642.8701,20399750078.9316,23728578450.2618,27354367648.4891,32347111720.7285,37999799271.6995,44467982074.3917,53575175830.2201,47097960268.1156,48599398892.8881,59470787678.992,64101198605.9787,83219729978.4181,93117001181.87,78204253448.539,68252669038.8455,68272591474.4645,80104495001.7956,93665468032.7676,93650762914.8083,110611508420.027,110367813323.586
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201958350.470591,225194741.35509,336059588.631604,407258541.307065,198301063.201829,263860200.716591,346103358.259024,559731748.684574,712475147.657043,1102692817.58482,1446628304.08986,1892429937.6804,2218726345.74628,3064975550.45926,3592291046.95506,3805982740.85624,4659178394.57709,5638540612.20661,6388462239.70584,6476196101.42285,5144852554.1959,3562823565.77482,4849217245.41952,4814290009.12676,4351324874.46922,3425685992.14386,4349776656.51965,7938713460.01022
5,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155437017.591292,103517382.413088,120269912.675311,145590152.063722,150276373.534804,160768481.136016,176816057.456316,231427088.171808,300144345.119245,356372378.906736,436345835.475164,565555579.564863,643783955.401947,626007337.268836,650270996.278917,729861658.409619,568493539.354978,646451580.33658,704503223.359879,645807585.255282,674241295.28566,801776467.950801,929587978.023759,963568291.739763,933423400.828348,1103656986.08964,1236498023.33506
6,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54744744.1083986,53395495.3423236,60373515.8373426,85391756.975466,105815375.637133,109859224.991295,118724290.934728,134334649.99083,146145676.932655,132723385.516008,127639998.992455,132848190.597622,118740187.425,122572033.813891,120295777.492002,103395554.845467,108365867.076369,112470995.451906,116194068.540211,115910424.101845,107937581.238735,,
7,Arab World,ARB,,,,,,,,,,,,,,,,12333079604.7533,14419911089.7781,16651434173.2324,18734356024.1346,24535528062.9324,30621773875.56,36355246867.9272,36572008116.6478,38597671561.318,42892889765.2694,43390244818.3964,43908594972.6165,49973920818.506,54077857782.1167,57095232364.2336,61557097472.4611,51412493204.6341,52033247906.0312,52943927708.5573,56554458296.0806,64327055238.809,71606444264.2328,77916581305.6906,78376723563.6759,84453740995.4328,98013921384.1446,99829058858.7771,102601434140.256,116631265786.578,135651537153.737,161689113757.473,183779903340.175,206653989698.14,253289218221.587,218263796994.618,258194558751.146,298836723454.173,320817168619.108,320804507680.726,330764388806.227,297589783025.48,295081138553.211,300597906600.02,329196711658.858,326913563406.519,299605361383.486,362021200056.128,466710057078.232
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,134047411.382922,215781549.134445,682499423.564676,816023719.709414,954745633.539116,1625413197.78333,3163443203.48679,3695723236.17543,3753745573.41324,3823208934.89512,3624897847.99782,2809043857.2596,3192590574.77527,3207028057.74993,3386270770.90711,3799509670.38954,3826750204.304,4113320621.08417,4363116317.07981,3906837374.01253,4452465268.31926,4883138109.50695,6224734404.79433,6531518039.48264,7226412525.52757,9465486725.66372,13754663036.079,14345813478.5568,15247923757.6583,17018107556.1607,19159972770.5922,21449693669.1627,23278420694.3499,27131654186.5214,23314635806.6712,25442288286.3527,29401709435.3977,31095868545.7922,31720297182.2867,33605870207.6757,33976082195.4717,34442146214.9258,36635868564.3044,38117534633.6242,37064624581.5461,35966994023.6749,41525151135.5314,49316804396.1013
9,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,33580000000.0,33567142857.1429,26208333333.3333,29123404255.3191,29979439252.3364,35539428571.4286,23716397789.0112,37867958465.0187,46265967383.3246,50009084512.8715,43181479379.3794,45873469700.0,44502096300.0,47723427100.0,53382062500.0,53326264700.0,48089824700.0,46877339400.0,43241974900.0,19884659444.7571,28690164511.4211,31181294718.6206,36449209845.7969,41576107685.8108,49016520323.1183,59795791835.7078,51890313730.722,67123175368.3781,84033764932.5814,83081051122.8397,82864793306.4051,77752039861.1526,84344878153.7785,75200104206.6516,82610787771.5883,73790429479.3891,60629741137.9921,56281582711.3467,76959010333.8702,101317937463.49
