Year,Anomaly
1960,0.26
1961,-0.09
1962,0.06
1963,0.05
1964,-0.23
1965,-0.02
1966,0.01
1967,0.04
1968,-0.07
1969,0.33
1970,-0.1
1971,-0.05
1972,0.14
1973,0.05
1974,-0.06
1975,-0.09
1976,0.12
1977,0.11
1978,0.12
1979,0.5
1980,0.23
1981,0.45
1982,0.41
1983,0.27
1984,0.06
1985,0.17
1986,0.17
1987,0.48
1988,0.32
1989,0.4
1990,0.41
1991,0.33
1992,0.22
1993,0.18
1994,0.4
1995,0.32
1996,0.38
1997,0.59
1998,0.59
1999,0.49
2000,0.3
2001,0.63
2002,0.51
2003,0.76
2004,0.5
2005,0.74
2006,0.78
2007,0.52
2008,0.57
2009,0.7
2010,0.52
2011,0.61
2012,0.55
2013,0.72
2014,0.79
2015,1.13
2016,0.91
2017,0.99
2018,0.94
2019,1.1
2020,0.84
2021,0.87
2022,0.84
2023,1.43
