Indicator ID,Name,Notes
ENF.CONT.COEN.ATDR,Enforcing contracts: Alternative dispute resolution (0-3) (DB16-20 methodology),"The alternative dispute resolution evaluates two aspects: (i) whether domestic commercial arbitration is regulated by law, all disputes can be submitted to arbitration and valid arbitration clauses are usually enforced by courts; and (ii) whether voluntary mediation and/or conciliation are a recognized way of resolving commercial disputes, they are regulated by law and there are financial incentives for parties to attempt mediation of conciliation. The index is computed based on the methodology in the DB17-20 studies."
ENF.CONT.COEN.ATFE.PR,Enforcing contracts: Attorney fees (% of claim),"The attorney fees are the fees that plaintiff must advance to a local attorney in the standardized case, regardless of final reimbursement."
ENF.CONT.COEN.COST.ZS,Enforcing contracts: Cost (% of claim),"The cost to enforce contracts is recorded as a percentage of the claim value, assumed to be equivalent to 200% of income per capita or $5,000, whichever is greater. Three types of costs are recorded: average attorney fees, court costs and enforcement costs. Bribes are not taken into account."
ENF.CONT.COEN.COST.ZS.DFRN,Enforcing contracts: Cost (% of claim) - Score,"The score for cost to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance."
ENF.CONT.COEN.CSMG,Enforcing contracts: Case management (0-6) (DB16-20 methodology),The case management evaluates six aspects of the court case management system: (i) whether there are regulations setting time standards for key court events; (ii) whether there are regulations on adjournments and continuances; (iii) whether performance measurement reports are publicly available; (iv) whether a pretrial conference is available; (v) whether an electronic case management system for judges is available; and (vi) whether an electronic case management system for lawyers is available. The index is computed based on the methodology in the DB17-20 studies.
ENF.CONT.COEN.CTAU,Enforcing contracts: Court automation (0-4) (DB17-20 methodology),The court automation evaluates four aspects: (i) whether the initial complaint can be filed electronically; (ii) whether the initial complaint can be served electronically; (iii) whether court fees can be paid electronically; and (iv) whether judgments rendered in commercial matters are made available to the public. The index is computed based on the methodology in the DB17-20 studies.
ENF.CONT.COEN.CTFE.PR,Enforcing contracts: Court fees (% of claim),"The court fees include all costs that plaintiff must advance to the court, regardless of the final cost borne by plaintiff. Court costs include the fees that the parties must pay to obtain an expert opinion, regardless of whether they are paid to the court or to the expert directly."
ENF.CONT.COEN.CTSP.DB1719,Enforcing contracts: Court structure and proceedings (0-5) (DB17-20 methodology),"The court structure and proceedings evaluates five aspects of the court system: (i) whether a specialized commercial court, division or section is available; (ii) whether a small claims court and/or simplified procedure for small claims is available; (iii) whether pretrial attachment of defendant's movable assets is available; (iv) whether new cases are assigned randomly and through an automated system to judges; and (v) whether a woman’s testimony in court carries the same evidentiary weight as that of a man's. The index is computed based on the methodology in the DB17-20 studies."
ENF.CONT.COEN.DB0415.DFRN,Enforcing contracts (DB04-15 methodology) - Score,"The score for enforcing contracts is the simple average of the scores for each of the component indicators: the procedures, time and cost for resolving a commercial dispute through a local first-instance court. The score is computed based on the methodology in the DB04-15 studies."
ENF.CONT.COEN.DB1719.DFRN,Enforcing contracts (DB17-20 methodology) - Score,"The score for enforcing contracts is the simple average of the scores for each of the component indicators: the time and cost for resolving a commercial dispute through a local first-instance court, as well as the quality of judicial processes that promotes quality and efficiency in the court system. The score is computed based on the methodology in the DB17-20 studies."
